name,address,telephone
AKFA MEDLINE LLC,"Uzbekistan, 100211, Tashkent, Almazar district, street KICHIK KHALKA YULI, 5 А",+998 71 2311639
DARMON SERVIS PRIVATE CLINIC,"Uzbekistan, 100015, Tashkent, Chilanzar district, street CHAPANATA, 18/19",+998 71 2311654
DOCTOR-D LLC,"Uzbekistan, 100019, Tashkent, Almazar district, street USTA OLIM, 15",+998 71 2310427
HAYAT MEDICAL CENTRE PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD, 5/14",+998 71 2310394
HOREV MEDICAL CENTER,"Uzbekistan, 100048, Tashkent, Yashnabad district, street MAKHTUMKULI, 105",+998 71 2311669
Medion Family Hospital,"Uzbekistan, 100000, Tashkent, Shaykhantakhur district, street ISTIROKHAT, 258",+998 71 2310674
Medion Innovation,"Uzbekistan, 100000, Tashkent, Shaykhantakhur district, street ABDULLA KADIRIY, 39/1",+998 71 2310674
NS Medical (Филиал Беруни),"Uzbekistan, 100000, Tashkent, street BERUNI, 6",+998 71 2310566
NS Medical (Филиал Ибн Сина),"Uzbekistan, 100000, Tashkent, massif IBN SINO-2, 2",+998 71 2310566
SHOX INTERNATIONAL HOSPITAL,"Uzbekistan, 100100, Tashkent, Yakkasaray district, street KICHIK KHALKA YULI, 70 A",+998 71 2310359
BEST MEDIUM CLINIC PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Chilanzar district, street KICHIK KHALKA YULI, 11",+998 55 5170154
GMG MEDICAL CENTRE,"Uzbekistan, 100000, Tashkent, Mirzo-ulugbek district, massif BUYUK IPAK YULI, street YAHYO GULYAMOV, 38",+998 71 2330999
IHLOS DOCTOR MT PRIVATE CLINIC,"Uzbekistan, 100007, Tashkent, Yunusabad district, massif YUNUSABAD-18, 53",+998 55 5170188
iMedClinic,"Uzbekistan, 100000, Tashkent, street KARAKAMISH, 1а",+998 71 2310317
INVIVO MULTIDISCIPLINARY CLINIC,"Uzbekistan, 100043, Tashkent, Almazar district, street FAROBI, 448 D",+998 55 5170187
Labnet Yashnabad,"Uzbekistan, 100000, Tashkent, Yashnabad district, massif AVIASOZLAR-2, 18",+998 71 2310246
Labnet Yunusabad,"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-3, 15",+998 71 2310246
OSIYO TIBBIYOT MARKAZI,"Uzbekistan, 100000, Tashkent, street PARKENT, 118",+998 71 2310318
ZDOROVAYA SEMYA MEDICAL CENTER,"Uzbekistan, 100131, Tashkent, Chilanzar district, massif CHILANZAR-11, street MAKSUD SHEYKH-ZADE, 31 А",+998 71 2311692
Anfa Clinic,"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-2, 25А",+998 55 5175167
CITYMED CLINIC,"Uzbekistan, 100002, Tashkent, Shaykhantakhur district, street FAROBI, 415",+998 78 7770103
CORALL MEDICAL MEDICAL CENTRE,"Uzbekistan, 100000, Tashkent, Almazar district, avenue BERUNI, 2/1",+998 55 5170194
"DR HASAN"" MEDICAL CENTER","Uzbekistan, 100019, Tashkent, Almazar district, massif SEBZAR-17/18, 1",+998 55 5175154
Dusel Medical,"Uzbekistan, 100000, Tashkent, Uchtepa district, street TUKIMACHI, 3",+998 55 5175164
EXPERT MEDICAL CLINIC PRIVATE CLINIC,"Uzbekistan, 100169, Tashkent, Shaykhantakhur district, avenue BERUNI, 32",+998 71 2310392
EZGU NIYAT VERSATILE MEDICAL CENTER,"Uzbekistan, 100000, Tashkent, Shaykhantakhur district, street ALMAZAR, 4",+998 71 2310620
GATLING-MED CLINIC,"Uzbekistan, 100115, Tashkent, Chilanzar district, massif CHILANZAR-1, street LUTFI, 5/1",+998 71 2310618
HAPPY LIFE MEDICAL CENTRE PRIVATE CLINIC,"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-19, street DEKHKANABAD, 12 А",+998 55 5175160
HEALTHY CHILDREN REHABILITATION CENTER CHILANZAR BRANCH,"Uzbekistan, 100000, Tashkent, Chilanzar district, street MUKIMI, 144/1",+998 55 5175146
HEALTHY CHILDREN REHABILITATION CENTER YASHNABAD BRANCH,"Uzbekistan, 100000, Tashkent, Yashnabad district, street BIRLASHGAN, 52",+998 55 5175146
HEALTHY CHILDREN REHABILITATION CENTER YUNUSABAD BRANCH,"Uzbekistan, 100000, Tashkent, Yunusabad district, massif YUNUSABAD-17, street YANGI YUNUSOBOD, 50",+998 55 5175146
Impuls Medical Centre,"Uzbekistan, 100000, Tashkent, Shaykhantakhur district, street DJARARIK, 70а",+998 71 2310326
International Allergy Center,"Uzbekistan, 100000, Tashkent, Almazar district, side street Muhbir and Karakamish-4, 2в-2г",+998 55 5175156
